;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
19968;19958;               Activos frente a no residentes;Activos frente a no residentes;E07.17.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20521;19958;               Pasivos frente a no residentes;Pasivos frente a no residentes;E07.17.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
19975;20504;          Activos internos;Activos internos;E07.17.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
19998;19975;               Banco central;Banco central;E07.17.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20019;19998;                    Billetes y monedas;Billetes y monedas;E07.17.02.04.01.00.00.00.00.M.CRC                                     ;Mensual
20089;19998;                    Depósitos;Depósitos;E07.17.02.04.02.00.00.00.00.M.CRC                                     ;Mensual
20672;19998;                    Valores;Valores;E07.17.02.04.03.00.00.00.00.M.CRC                                     ;Mensual
20207;19975;               Gobierno central (neto);Gobierno central (neto);E07.17.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20213;19975;               Gobierno estatal y local;Gobierno estatal y local;E07.17.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20240;19975;               Hogares e ISFLSH;Hogares e ISFLSH;E07.17.02.07.00.00.00.00.00.M.CRC                                     ;Mensual
20337;19975;               Otras partidas (neto);Otras partidas (neto);E07.17.02.08.00.00.00.00.00.M.CRC                                     ;Mensual
20359;19975;               Otras sociedades financieras;Otras sociedades financieras;E07.17.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20378;19975;               Otras sociedades no financieras;Otras sociedades no financieras;E07.17.02.06.00.00.00.00.00.M.CRC                                     ;Mensual
20626;19975;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.17.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20530;20504;          Pasivos incluidos en la definición de dinero en sentido ampl;Pasivos incluidos en la definición de dinero en sentido amplio;E07.17.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
20133;20530;               Depósitos transferibles;Depósitos transferibles;E07.17.03.01.00.00.00.00.00.M.CRC                                     ;Mensual
20445;20530;               Otros depósitos y valores;Otros depósitos y valores;E07.17.03.02.00.00.00.00.00.M.CRC                                     ;Mensual
20505;;     Panorama de las sociedades de deposito;Panorama de las sociedades de deposito;E07.19.00.00.00.00.00.00.00.M.CRC                                     ;Mensual
19960;20505;          Activos externos netos;Activos externos netos;E07.19.01.00.00.00.00.00.00.M.CRC                                     ;Mensual
19970;19960;               Activos frente a no residentes;Activos frente a no residentes;E07.19.01.01.00.00.00.00.00.M.CRC                                     ;Mensual
20523;19960;               Pasivos frente a no residentes;Pasivos frente a no residentes;E07.19.01.02.00.00.00.00.00.M.CRC                                     ;Mensual
19977;20505;          Activos internos;Activos internos;E07.19.02.00.00.00.00.00.00.M.CRC                                     ;Mensual
20209;19977;               Gobierno central (neto);Gobierno central (neto);E07.19.02.01.00.00.00.00.00.M.CRC                                     ;Mensual
20215;19977;               Gobierno estatal y local;Gobierno estatal y local;E07.19.02.03.00.00.00.00.00.M.CRC                                     ;Mensual
20242;19977;               Hogares e ISFLSH;Hogares e ISFLSH;E07.19.02.06.00.00.00.00.00.M.CRC                                     ;Mensual
20341;19977;               Otras partidas netas;Otras partidas netas;E07.19.02.07.00.00.00.00.00.M.CRC                                     ;Mensual
20361;19977;               Otras sociedades financieras;Otras sociedades financieras;E07.19.02.04.00.00.00.00.00.M.CRC                                     ;Mensual
20380;19977;               Otras sociedades no financieras;Otras sociedades no financieras;E07.19.02.05.00.00.00.00.00.M.CRC                                     ;Mensual
20628;19977;               Sociedades públicas no financieras;Sociedades públicas no financieras;E07.19.02.02.00.00.00.00.00.M.CRC                                     ;Mensual
20146;20505;          Dinero en sentido amplio;Dinero en sentido amplio;E07.19.03.00.00.00.00.00.00.M.CRC                                     ;Mensual
20069;20146;               Billetes y monedas en poder del público;Billetes y monedas en poder del público;E07.19.03.01.00.00.00.00.00.M.CRC                                     ;Mensual
20135;20146;               Depósitos transferibles;Depósitos transferibles;E07.19.03.02.00.00.00.00.00.M.CRC                                     ;Mensual
20296;20135;                    ME;ME;E07.19.03.02.02.00.00.00.00.M.CRC                                     ;Mensual
20306;20135;                    MN;MN;E07.19.03.02.01.00.00.00.00.M.CRC                                     ;Mensual
20439;20146;               Otros depósitos;Otros depósitos;E07.19.03.03.00.00.00.00.00.M.CRC                                     ;Mensual
20297;20439;                    ME;ME;E07.19.03.03.02.00.00.00.00.M.CRC                                     ;Mensual
20307;20439;                    MN;MN;E07.19.03.03.01.00.00.00.00.M.CRC                                     ;Mensual
20674;20146;               Valores;Valores;E07.19.03.04.00.00.00.00.00.M.CRC                                     ;Mensual
20298;20674;                    ME;ME;E07.19.03.04.02.00.00.00.00.M.CRC                                     ;Mensual
